0,1,2,3,4
,,,,
,,,,
LAW,,ONE WARNING,,ACTION
26.4,,Illegal practice on the field,,Warn player† + inform other umpire and both captains***
,,"Repetition by any player on the
same team during the match",,5 Penalty runs + report*
41.2,,Unfair actions not covered in Law,,Warn the captain***
,,Repetition by any member of side,,5 Penalty runs + report*
41.9,,Time wasting by fielding side,,Warn captain**
,,Any repetition during that innings,,"a. If not during an over – 5 Penalty runs + report*
b. If during an over – suspend bowler + report*"
41.10,,Batters wasting time,,Warn batters†
,,Repetition by any batters in that innings,,5 Penalty runs + report*
41.12,,"Fielder causing avoidable damage
to pitch",,Warn captain**
,,Any repetition during that innings,,5 Penalty runs + report*
41.14,,"Batter causing avoidable damage
to pitch",,Warn the batter†
,,Repetition by any batter in that innings,,No runs to count + 5 Penalty runs + return batters to original ends + report*
41.15,,Striker in protected area,,Warn the batter†
,,Repetition by any batter in that innings,,No runs to count + 5 Penalty runs + return batters to original ends + report*
"Level 1 offence
42.2
Level 1 offence following any other
offence by that team",,Level 1 offence,,"Agree offence. Call Time + summon and inform captain + first and final
warning + call Play + report*"
,,,,"Agree offence. Call Time + summon and inform captain + 5 Penalty runs
+ call Play + report*"
