0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,PREPARATION AND MAINTENANCE OF THE PITCH,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Before time for start of play,,,,
,,,,,,,,,,,,,Start,,,Finish,
,,,,First Day,,,Subsequent,,,Not Earlier,,,Not later than,,,Not later than,
,,,,,,,days,,,than,,,,,,,
,MOWING,,,,,,,,,,,,,,,,
,Outfield,,-,,,"each morning
(If possible)",,,-,,,-,,,15 mins,,
,,,,,,,,,,,,,,,,,
,Pitch,,-,,,each morning,,,-,,,-,,,30 mins,,
,ROLLING THE PITCH,,,,,,,,,,,,,,,,
,(if the batting captain requests it. Maximum of 7 minutes for each occasion),,,,,,,,,,,,,,,,
,,,"not before first
innings
between toss
and start of
play, if start
delayed*
before
subsequent
innings",,,"Each morning
between
innings",,,30 mins,,,10 mins†,,,-,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Pitch,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SWEEPING,,,,,,,,,,,,,,,,
,"(may be used clear debris as below, but not before mowing and not if detrimental to surface of pitch)",,,,,,,,,,,,,,,,
,CLEARING DEBRIS FROM THE PITCH,,,,,,,,,,,,,,,,
,(No sweeping before mowing),,,,,,,,,,,,,,,,
,Pitch,,"before start of
play
between
innings,
before rolling
at all intervals
(aside from
drinks)",,,"before start of
play
between
innings.
before rolling
at all intervals
(aside from
drinks)",,,30 mins,,,10 mins,,,-,,
,,,,,,,,,,,,,,,,,
,Pitch,,"Additionally, by hand, before
mowing and whenever umpires
consider necessary",,,,,,-,,,-,,,-,,
,,,,,,,,,,,,,,,,,
,RE-MARKING CREASES,,,,,,,,,,,,,,,,
,Whenever either umpire considers necessary,,,,,,,,,,,,,,,,
,MAINTENANCE OF FOOTHOLES,,,,,,,,,,,,,,,,
,Whenever either umpire considers necessary,,,,,,,,,,,,,,,,
,WATERING THE PITCH,,,,,,,,,,,,,,,,
,At no time during the match,,,,,,,,,,,,,,,,
