0,1,2,3,4,5
,CATCH POSSIBLE?,,,,
YES,,,NO,,
,Held in hand or hands of *fielder even hand,,,,
,but not ball is touching the ground,,,,
,,,,,
"touches fielder's person or external
protective equipment including the helmet",,,Touches fielder helmet on ground,,
,Lodge in external protective equipment,,,Fielder deliberately uses clothing to field ball,
,"Including a helmet, of, accidentally, in",,,,
,fielders clothing Lodges in *keeper's pads,,,,
,,,,,
"Touches either batsman or a runner
Touches either batsman's or runner's helmet",,,"Lodges in either batman's Dad Lodges in
either batsman's clothing Trapped among
items of either batsman's clothing or
equipment
Lodges in either batsman's helmet",,
,Touches stumps at bowler's end,,,,
,,,,,
Touches stumps at keeper's end sometimes†,,,"Touches stumps at keeper's end in normal
circumstances†",,
,Touches umpire,,,Lodges in umpire clothing,
,,,,,
