0,1,2,3,4,5,6,7,8
,LAW,,,NO WARNING,,,ACTION,
18.5^,,,"Either batsman deliberately
running short",,,No runs to count + 5 Penalty runs + return batsmen to original ends + report*,,
24.4,,,"Player returning without
permission and coming into contact
with the ball in play",,,"Ball becomes dead +5 Penalty runs + ball not to count as one of the over + runs
completed/run in progress if crossed to count + report*",,
28.2,,,Fielding the ball illegally,,,"Ball becomes dead + 5 Penalty runs + ball not to count as one of the over + runs
completed in progress if crossed to count +report*",,
28.3,,,"Ball in play hitting helmet not being
worn",,,"Ball becomes dead + if allowable 5 Penalty runs + if allowable runs completed/in
progress if crossed to count (no report)",,
41.3^,,,"Match ball - changing its condition
unfairly",,,Umpires consult + change ball if opposing captain wishes + 5 Penalty runs + report*,,
,,,Any repetition in match by team,,,"Umpires consult + change ball if opposing captain wishes +5 Penalty runs + if fielding
offence suspend bowler who bowled previous ball + report*",,
41.4^,,,"Deliberate attempt to distract
striker preparing to receive or
receiving a delivery",,,No dismissal + 5 Penalty runs + ball not to count as one of the over + report*,,
41.5^,,,"Deliberate distraction, deception or
obstruction of batsman after striker
received delivery",,,"No dismissal + 5 Penalty runs + runs completed/in progress to count + batsman at
wicket decide which of them to face next delivery + ball not to count as one of the
over + report*",,
41.17,,,Batsmen stealing a run,,,5 Penalty runs + no runs count + return batsmen to original ends + report*,,
42^,,,"Level 2, 3 or 4 offence",,,"Agree Level of offence. Call Time + summon and inform captain + 5 Penalty runs (+
direct captain to remove offending player if necessary) + call Play + report*",,
